Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,NaN,NaN,NaN,NaN,NaN
astar,true,19785.1611,119401.8,95.52,2709,24.50
bfs,true,119.1865,122055.05,97.64,2709,7.95
dfs,true,40.1965,72171.6,57.74,2709,7.88
wallFollower,true,38.6774,108172.8,86.54,2709,9.69
dijkstra,false,NaN,NaN,NaN,NaN,NaN
astar,false,20340.9288,121136.2,94.67,2160.6,25.43
bfs,false,111.4259,124540.95,97.33,2160.6,4.29
dfs,false,28.5333,53353.7,41.69,4170.1,9.39
wallFollower,false,45.9667,139343.6,108.90,10572.5,9.93
