Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,2125.498,1278839,48.35,13559,1618.87
astar,true,4101.392,2610943,98.71,13559,1061.94
bfs,true,1598.370,2601164,98.34,13559,2022.57
dfs,true,718.267,1477237,55.85,13559,1259.66
wallFollower,true,893.349,2347596,88.76,13559,1594.45
dijkstra,false,3225.879,1529121,56.47,18627,1985.63
astar,false,7189.339,2671477,98.66,11200,1553.48
bfs,false,1978.546,2663405,98.36,11200,2479.16
dfs,false,876.107,1525794,56.35,32277,1307.75
wallFollower,false,1349.022,2910517,107.48,199624,1864.58
