Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,46.717,35279,57.60,1749,46.97
astar,true,84.955,54418,88.85,1749,32.26
bfs,true,46.148,58462,95.45,1749,59.32
dfs,true,21.576,28321,46.24,1749,44.16
wallFollower,true,38.433,67291,109.86,1749,43.47
dijkstra,false,42.154,27525,43.91,2400,59.13
astar,false,96.502,58094,92.67,1527,32.26
bfs,false,48.354,60233,96.08,1527,76.95
dfs,false,23.387,28580,45.59,3159,55.78
wallFollower,false,39.070,64793,103.35,5110,66.18
