Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,1664.67,1772617,98.21,11289,818.11
astar,true,1882.93,1780455,98.64,11289,717.20
bfs,true,1435.47,1772616,98.21,11289,709.87
dfs,true,564.96,846512,46.90,11289,454.38
wallFollower,true,854.42,1927716,106.80,11289,652.09
dijkstra,false,1839.30,1827175,98.88,9097,738.24
astar,false,2097.17,1840374,99.59,9097,575.13
bfs,false,1592.05,1827174,98.88,9097,641.31
dfs,false,497.46,615954,33.33,28344,333.39
wallFollower,false,979.66,1765943,95.56,135106,553.57
