Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,724.737,408568,48.35,7511,281.17
astar,true,1467.155,833330,98.62,7511,314.04
bfs,true,537.262,830123,98.24,7511,343.47
dfs,true,271.936,470015,55.62,7511,304.73
wallFollower,true,311.976,756686,89.55,7511,283.65
dijkstra,false,588.526,360686,41.69,9340,362.83
astar,false,1883.326,850237,98.28,5821,319.18
bfs,false,523.308,845694,97.76,5821,364.51
dfs,false,174.227,358516,41.44,12918,240.67
wallFollower,false,386.758,965754,111.64,67035,376.82
