Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,4142.16,4714091,98.11,19649,1578.46
astar,true,3505.53,4732129,98.48,19649,1523.20
bfs,true,2683.09,4714100,98.11,19649,1246.71
dfs,true,1177.00,2238551,46.59,19649,1235.45
wallFollower,true,1904.33,5152138,107.22,19649,1292.28
dijkstra,false,4619.38,4861726,98.83,15906,871.91
astar,false,3554.77,4897170,99.55,15906,1008.31
bfs,false,2596.35,4861738,98.83,15906,1350.96
dfs,false,1053.54,2066058,42.00,43270,729.82
wallFollower,false,1723.17,4261514,86.63,358768,1095.75
