Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,13363.41,12019740,98.11,32595,2429.98
astar,true,10859.40,12064348,98.47,32595,3172.14
bfs,true,8067.93,12019737,98.11,32595,3960.39
dfs,true,2460.93,6224639,50.81,32595,2177.96
wallFollower,true,3405.17,12085612,98.65,32595,3412.09
dijkstra,false,15274.46,12347277,98.44,25593,3123.37
astar,false,11387.98,12440240,99.18,25593,3823.92
bfs,false,7260.62,12347282,98.44,25593,7044.56
dfs,false,2332.15,5114789,40.78,65214,3493.49
wallFollower,false,3623.31,11406281,90.94,897117,5084.78
