Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,3498.91,6341429,99.29,69106,N/A,2783.08
astar,true,7293.69,6341324,99.29,69106,N/A,2264.74
bfs,true,2273.95,6341430,99.29,69106,N/A,2759.03
dfs,true,925.64,3317753,51.95,69106,N/A,2129.56
wallFollower,true,2456.84,5823343,91.18,69106,N/A,2984.61
dijkstra,false,9023.53,6991515,99.97,8475,0,2032.61
astar,false,10180.15,6991495,99.97,8475,0,1957.34
bfs,false,2111.33,6991515,99.97,8475,0,2651.62
dfs,false,247.24,533344,7.63,264000,255525,516.56
wallFollower,false,1274.48,2861958,40.92,42113,33638,1179.85
