Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,144.99,499356,99.87,13717,224.54
astar,true,137.05,499423,99.88,13717,184.36
bfs,true,104.63,499357,99.87,13717,136.83
dfs,true,68.32,410779,82.16,13717,251.25
wallFollower,true,35.50,192156,38.43,13717,133.67
dijkstra,false,185.35,546898,99.95,2407,326.58
astar,false,149.29,556568,101.72,2407,329.91
bfs,false,109.45,546898,99.95,2407,222.58
dfs,false,67.40,324118,59.24,14645,271.41
wallFollower,false,102.55,583358,106.62,157269,250.80
