Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,2425.428,1952060,97.60,11151,803.06
astar,true,1868.352,1952065,97.60,11151,846.87
bfs,true,516.901,1952058,97.60,11151,616.33
dfs,true,195.604,928528,46.43,11151,459.53
wallFollower,true,298.196,2154092,107.70,11151,831.79
dijkstra,false,3894.803,2031814,99.24,9847,962.31
astar,false,3095.854,2031808,99.24,9847,1031.50
bfs,false,650.451,2031806,99.24,9847,1094.58
dfs,false,295.376,1140206,55.70,18148,732.15
wallFollower,false,132.305,883546,43.15,123710,730.51
