Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,1321.956,1988254,99.41,12461,797.92
astar,true,1322.444,1988254,99.41,12461,954.99
bfs,true,573.456,1988254,99.41,12461,772.05
dfs,true,197.812,968696,48.43,12461,1184.44
wallFollower,true,328.600,2074954,103.75,12461,1639.94
dijkstra,false,2531.656,2009750,98.16,9455,2388.81
astar,false,2613.648,2009750,98.16,9455,2334.12
bfs,false,695.783,2009738,98.16,9455,1989.27
dfs,false,224.101,944966,46.16,21195,1171.79
wallFollower,false,221.837,1433781,70.03,158619,1723.06
