Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,1384.343,1987364,99.37,12901,364.33
astar,true,813.582,1990782,99.54,12901,1070.95
bfs,true,611.319,1987361,99.37,12901,1154.55
dfs,true,385.604,1364124,68.21,12901,1062.20
wallFollower,true,247.387,1284412,64.22,12901,1210.31
dijkstra,false,2479.838,2023134,98.80,9171,997.23
astar,false,1025.885,2038054,99.53,9171,935.38
bfs,false,655.755,2023128,98.80,9171,1443.43
dfs,false,99.786,430447,21.02,15404,714.29
wallFollower,false,298.029,1894305,92.51,153812,1197.14
