Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,973.906,1367965,68.40,12025,739.41
astar,true,1749.540,1984370,99.22,12025,615.95
bfs,true,544.266,1977083,98.85,12025,856.87
dfs,true,327.688,1485135,74.26,12025,626.08
wallFollower,true,190.753,1041746,52.09,12025,403.70
dijkstra,false,851.772,865286,42.26,18042,823.69
astar,false,2934.153,2014942,98.41,10202,907.36
bfs,false,697.907,2004442,97.89,10202,1174.43
dfs,false,270.546,1004837,49.07,24953,642.98
wallFollower,false,350.481,1726501,84.32,136451,1311.93
