Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,1208.152,1418209,70.91,12227,356.37
astar,true,1981.220,1969402,98.47,12227,313.90
bfs,true,629.905,1962904,98.15,12227,513.75
dfs,true,204.014,720570,36.03,12227,532.91
wallFollower,true,487.153,2571080,128.55,12227,1009.49
dijkstra,false,1052.112,1170416,57.16,17188,1134.82
astar,false,2788.227,2020092,98.66,8906,999.10
bfs,false,545.270,2010934,98.21,8906,1096.77
dfs,false,77.561,426308,20.82,14537,452.25
wallFollower,false,365.544,2448897,119.60,149355,1039.53
