Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,472.429,594563,29.73,11686,817.50
astar,true,1719.057,1977361,98.87,11686,692.10
bfs,true,535.777,1968701,98.44,11686,920.07
dfs,true,243.679,1199824,59.99,11686,823.88
wallFollower,true,244.152,1611976,80.60,11686,1018.39
dijkstra,false,1119.234,930024,45.42,14439,1038.52
astar,false,3450.116,2019824,98.64,9153,896.38
bfs,false,715.530,2011274,98.22,9153,938.70
dfs,false,185.648,740191,36.15,23516,368.66
wallFollower,false,285.606,1737131,84.83,147423,970.20
