Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,112.51,492180,98.44,11022,220.54
astar,true,119.46,495283,99.06,11022,190.70
bfs,true,80.90,492181,98.44,11022,170.54
dfs,true,29.78,257134,51.43,11022,149.97
wallFollower,true,80.04,492318,98.46,11022,201.29
dijkstra,false,154.14,547158,99.96,2400,166.06
astar,false,162.53,547155,99.96,2402,145.38
bfs,false,66.91,547158,99.96,2400,157.68
dfs,false,21.78,160584,29.34,12008,86.51
wallFollower,false,34.03,187473,34.25,12531,77.77
