Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB],D_PathLength
dijkstra,true,99.40,455171,91.03,7966,200.96,N/A
astar,true,118.34,469721,93.94,7966,190.73,N/A
bfs,true,71.97,455172,91.03,7966,168.60,N/A
dfs,true,25.06,228061,45.61,7966,133.71,N/A
wallFollower,true,79.95,504148,100.83,7966,192.73,N/A
dijkstra,false,140.30,520967,95.18,1704,164.64,0
astar,false,111.39,300735,54.94,1745,157.67,41
bfs,false,64.54,520967,95.18,1704,151.19,0
dfs,false,26.55,196732,35.94,35343,94.89,33639
wallFollower,false,28.66,157137,28.71,12567,75.24,10863
