Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,190.55,497544,99.51,11205,281.98
astar,true,136.92,498556,99.71,11205,265.89
bfs,true,101.52,497547,99.51,11205,227.11
dfs,true,44.73,251006,50.20,11205,243.82
wallFollower,true,68.33,509139,101.83,11205,228.69
dijkstra,false,287.46,547163,99.96,2402,257.08
astar,false,141.08,557133,101.78,2403,229.47
bfs,false,89.14,547163,99.96,2402,222.69
dfs,false,33.68,173449,31.69,11708,140.12
wallFollower,false,82.75,599976,109.61,150969,232.83
