Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,103.25,489433,97.89,11614,216.83
astar,true,138.11,492409,98.48,11614,185.77
bfs,true,79.26,489436,97.89,11614,195.16
dfs,true,28.21,238128,47.63,11614,159.56
wallFollower,true,78.42,490165,98.03,11614,215.67
dijkstra,false,141.12,547144,99.95,2389,134.22
astar,false,167.70,547152,99.96,2389,117.21
bfs,false,63.16,547145,99.95,2389,150.87
dfs,false,23.63,193816,35.41,12323,73.42
wallFollower,false,23.84,135658,24.78,12096,64.95
