Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,6609.473,2645306,53.32,20324,3509.09
astar,true,14002.650,4866328,98.09,20324,1781.60
bfs,true,6006.853,4884202,98.45,20324,2870.00
dfs,true,3722.989,2847148,57.39,20324,3213.93
wallFollower,true,4467.460,4245793,85.58,20324,2634.37
dijkstra,false,7506.549,2861172,56.33,27543,3130.78
astar,false,16347.153,5001457,98.47,16095,3126.04
bfs,false,6283.967,5017960,98.79,16095,3926.43
dfs,false,3218.111,2439451,48.03,40911,3345.22
wallFollower,false,5061.519,4683829,92.22,382121,2763.64
