Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,1916.467,2062217,25.78,25718,3744.86
astar,true,7945.993,7898198,98.73,25718,2584.02
bfs,true,2607.971,7867317,98.34,25718,2089.16
dfs,true,1065.632,4027680,50.35,25718,2369.81
wallFollower,true,1386.227,7970350,99.63,25718,2547.07
dijkstra,false,6765.404,5419959,66.18,38385,3971.58
astar,false,15789.942,8130574,99.27,21469,3008.04
bfs,false,3187.371,8114791,99.08,21469,3010.41
dfs,false,426.617,2522794,30.80,65479,2078.17
wallFollower,false,1548.188,8834331,107.87,583274,5016.25
