Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,2466.022,2176147,17.41,34133,4015.03
astar,true,12544.991,12392403,99.14,34133,338.68
bfs,true,3868.598,12351542,98.81,34133,5188.86
dfs,true,2378.950,11939521,95.52,34133,2708.77
wallFollower,true,190.682,1155088,9.24,34133,1238.79
dijkstra,false,4549.136,2944077,23.01,80489,4334.32
astar,false,24874.614,12637431,98.75,25939,6668.27
bfs,false,7223.597,12614127,98.57,25939,6687.03
dfs,false,643.224,2577384,20.14,84875,2102.75
wallFollower,false,3381.669,14813040,115.75,979527,5745.31
