Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,926.23,3102783,99.29,34959,1279.37
astar,true,856.45,3110142,99.52,34959,1088.84
bfs,true,651.79,3102787,99.29,34959,1249.79
dfs,true,220.65,1362817,43.61,34959,1130.98
wallFollower,true,390.30,3559314,113.90,34959,1246.84
dijkstra,false,1477.24,3420584,99.96,5938,1306.64
astar,false,890.22,3482811,101.78,5939,1359.48
bfs,false,610.57,3420583,99.96,5938,1319.22
dfs,false,278.29,1382540,40.41,31621,992.35
wallFollower,false,563.25,3659416,106.94,994428,1189.60
