Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,93.4354,873.4,69.93,226.6,0.74
astar,true,10.7916,709.8,56.83,226.6,-0.27
bfs,true,4.0987,872.8,69.88,226.6,-0.05
dfs,true,2.5791,629.8,50.42,226.6,0.27
wallFollower,true,5.0188,1428.8,114.40,226.6,0.01
dijkstra,false,115.3210,1116,87.37,183,0.61
astar,false,14.0145,993.2,77.76,183,0.04
bfs,false,7.8477,1116.4,87.40,183,-0.33
dfs,false,5.3177,726.8,56.83,269.8,0.10
wallFollower,false,4.0340,884.8,69.35,244.6,0.09
