Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,NaN,NaN,NaN,NaN,NaN
astar,true,161975.6692,354892.6666666667,98.24,4895.666666666667,16.60
bfs,true,284.5144,357447,98.95,4895.666666666667,20.63
dfs,true,65.2451,140056.33333333334,38.77,4895.666666666667,11.95
wallFollower,true,102.3968,447172,123.78,4895.666666666667,15.04
dijkstra,false,NaN,NaN,NaN,NaN,NaN
astar,false,155195.3453,346455,93.69,3571,19.16
bfs,false,275.7061,353910.3333333333,95.71,3571,12.61
dfs,false,55.1294,84974.66666666667,22.98,8801,10.11
wallFollower,false,68.9249,267322.6666666667,72.29,25025.666666666668,14.50
