Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,1901.7547,829602.8,98.18,7786.2,26.51
astar,true,2542.5993,823191.2,97.42,7786.2,127.59
bfs,true,873.3220,829603.2,98.18,7786.2,26.04
dfs,true,231.2088,481978.2,57.04,7786.2,19.09
wallFollower,true,184.0951,733734,86.83,7786.2,25.08
dijkstra,false,2215.8301,852168.3,98.51,6036.6,28.14
astar,false,2582.8297,842270.4,97.36,6078,135.88
bfs,false,836.9691,852166.6,98.51,6036.6,18.68
dfs,false,177.6771,356390.6,41.20,14552.4,13.76
wallFollower,false,193.2436,924901.2,106.91,61270.8,28.88
