Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,1010.9319,1019919.3,97.02,8179,23.61
astar,true,1047.4625,998751.3,95.01,8179,163.67
bfs,true,651.7555,1019923.3,97.02,8179,36.82
dfs,true,122.8390,387509.8,36.86,8179,17.58
wallFollower,true,259.9529,1334916.8,126.98,8179,44.58
dijkstra,false,1065.2209,1059991.8,98.49,6692.4,35.37
astar,false,1396.1866,1051805.2,97.73,6719.4,193.80
bfs,false,658.5988,1059995.5,98.49,6692.4,36.25
dfs,false,117.8286,386567.1,35.92,15064.2,17.04
wallFollower,false,211.7087,1172228.8,108.92,78595,39.82
