Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,1770.193,1807541,47.80,17899,1759218605360.11
astar,true,4051.918,3742202,98.97,17899,1759218605007.16
bfs,true,1622.823,3730948,98.67,17899,1759218605061.45
dfs,true,675.049,2172744,57.46,17899,1759218605473.71
wallFollower,true,865.398,3232956,85.50,17899,1759218605459.84
dijkstra,false,3639.206,2380506,61.49,24678,1552.53
astar,false,7577.390,3829196,98.92,13386,1441.90
bfs,false,2060.088,3819216,98.66,13386,1620.52
dfs,false,587.631,1698723,43.88,40364,897.75
wallFollower,false,1211.675,4515804,116.65,298136,1318.32
