Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,5162.509,3281229,58.48,20986,2514.49
astar,true,9193.728,5456682,97.25,20986,1672.32
bfs,true,4477.065,5496443,97.95,20986,3668.11
dfs,true,1861.401,2521654,44.94,20986,2309.08
wallFollower,true,3599.959,6199437,110.48,20986,3858.99
dijkstra,false,7271.674,3296394,57.38,29271,4131.75
astar,false,17251.307,5618279,97.80,16041,3384.51
bfs,false,5541.492,5644191,98.25,16041,4171.69
dfs,false,1696.964,2175564,37.87,45488,1622.69
wallFollower,false,3810.629,5876045,102.29,442188,3808.75
