Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,1434.234,461195,50.61,8035,693.02
astar,true,3084.239,891182,97.80,8035,533.78
bfs,true,1657.075,898023,98.55,8035,628.38
dfs,true,768.230,465718,51.11,8035,397.80
wallFollower,true,1118.509,897234,98.46,8035,728.66
dijkstra,false,1671.174,538819,57.76,9838,618.36
astar,false,3453.122,914779,98.06,6069,622.20
bfs,false,1749.923,920550,98.68,6069,633.50
dfs,false,666.895,422616,45.31,12860,456.05
wallFollower,false,1336.893,1058694,113.49,70233,708.68
