Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,5799.036,2503591,48.90,19519,2979.30
astar,true,12839.868,4982164,97.31,19519,3132.08
bfs,true,6125.431,5010232,97.86,19519,3362.12
dfs,true,4319.504,3785650,73.94,19519,2422.97
wallFollower,true,2668.767,2686278,52.47,19519,2440.05
dijkstra,false,7349.699,2824939,53.89,32234,3529.91
astar,false,16300.586,5155389,98.35,16145,2019.88
bfs,false,6570.592,5172328,98.67,16145,3477.73
dfs,false,3481.233,2868574,54.72,48000,3898.35
wallFollower,false,5600.884,5851886,111.64,405548,4271.42
