Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,2464.308,1622349,51.92,15381,1265.60
astar,true,4951.113,3051495,97.65,15381,1060.97
bfs,true,2388.058,3072353,98.32,15381,1877.42
dfs,true,1049.391,1409555,45.11,15381,1594.80
wallFollower,true,1882.272,3445052,110.24,15381,1939.93
dijkstra,false,2904.306,1425818,44.57,21744,1531.30
astar,false,8835.420,3142713,98.23,12393,2043.95
bfs,false,3015.359,3155779,98.64,12393,2293.54
dfs,false,779.053,1025280,32.05,37530,1451.66
wallFollower,false,2030.170,3063718,95.76,234622,1776.23
