Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,767.473,745822,37.29,11936,569.14
astar,true,2889.507,1977045,98.85,11936,487.70
bfs,true,871.544,1970969,98.55,11936,867.21
dfs,true,270.114,894579,44.73,11936,472.63
wallFollower,true,526.303,2220080,111.00,11936,959.23
dijkstra,false,1857.463,1197274,58.47,20209,1216.97
astar,false,5479.317,2018964,98.60,9561,1075.79
bfs,false,1090.716,2012317,98.28,9561,1420.40
dfs,false,148.879,475092,23.20,33250,371.04
wallFollower,false,751.256,3052058,149.05,139930,1426.71
