Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,1373.012,1083518,54.18,12070,1707.41
astar,true,3261.371,1947073,97.35,12070,801.02
bfs,true,1107.676,1956006,97.80,12070,1287.07
dfs,true,451.246,1117194,55.86,12070,969.31
wallFollower,true,554.472,1775601,88.78,12070,1298.15
dijkstra,false,2569.431,1382588,67.52,15866,1581.00
astar,false,5370.401,2029270,99.10,10667,1379.04
bfs,false,1355.934,2035424,99.40,10667,2551.28
dfs,false,375.087,1053583,51.45,27438,1272.63
wallFollower,false,947.301,2525793,123.35,164091,2355.53
