Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,1863.001,1230494,61.52,11762,1520.75
astar,true,4262.950,1952909,97.65,11762,483.21
bfs,true,1399.217,1967586,98.38,11762,1888.33
dfs,true,573.834,999314,49.97,11762,742.44
wallFollower,true,992.891,2013123,100.66,11762,1113.80
dijkstra,false,3383.788,1499708,73.24,17339,1655.45
astar,false,6461.456,2019641,98.64,10519,1011.93
bfs,false,1680.065,2026455,98.97,10519,2486.76
dfs,false,437.876,827460,40.41,33504,1346.05
wallFollower,false,769.199,1869821,91.32,165716,1913.25
