Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,1714.606,1287329,64.37,12152,1224.21
astar,true,3396.038,1955596,97.78,12152,674.76
bfs,true,1197.497,1966399,98.32,12152,1588.44
dfs,true,482.513,1171172,58.56,12152,1030.34
wallFollower,true,594.465,1665131,83.26,12152,889.28
dijkstra,false,2429.479,1294958,63.25,16714,1983.18
astar,false,5983.668,2013127,98.32,10004,1289.27
bfs,false,1491.240,2023538,98.83,10004,2866.97
dfs,false,505.466,1288891,62.95,37116,1609.56
wallFollower,false,1175.998,3011523,147.09,137106,1502.35
